Date,Time,Voltage (V)
6/13/2019,12:09:26 PM,0.6295
6/13/2019,12:09:31 PM,0.6295
6/13/2019,12:09:36 PM,0.6295
6/13/2019,12:09:41 PM,0.629
6/13/2019,12:09:46 PM,0.628
6/13/2019,12:09:51 PM,0.627
6/13/2019,12:09:56 PM,0.626
6/13/2019,12:10:01 PM,0.627
6/13/2019,12:10:06 PM,0.629
6/13/2019,12:10:11 PM,0.632
6/13/2019,12:10:16 PM,0.633
6/13/2019,12:10:21 PM,0.6325
6/13/2019,12:10:26 PM,0.631
6/13/2019,12:10:31 PM,0.629
6/13/2019,12:10:36 PM,0.627
6/13/2019,12:10:41 PM,0.6255
6/13/2019,12:10:46 PM,0.625
6/13/2019,12:10:51 PM,0.6255
6/13/2019,12:10:56 PM,0.626
6/13/2019,12:11:01 PM,0.626
6/13/2019,12:11:06 PM,0.625
6/13/2019,12:11:11 PM,0.6245
6/13/2019,12:11:16 PM,0.6245
6/13/2019,12:11:21 PM,0.6255
6/13/2019,12:11:26 PM,0.626
6/13/2019,12:11:31 PM,0.626
6/13/2019,12:11:36 PM,0.627
6/13/2019,12:11:41 PM,0.6285
6/13/2019,12:11:46 PM,0.6305
6/13/2019,12:11:51 PM,0.6315
6/13/2019,12:11:56 PM,0.6305
6/13/2019,12:12:01 PM,0.6285
6/13/2019,12:12:06 PM,0.628
6/13/2019,12:12:11 PM,0.6285
6/13/2019,12:12:16 PM,0.628
6/13/2019,12:12:21 PM,0.6275
6/13/2019,12:12:26 PM,0.626
6/13/2019,12:12:31 PM,0.626
6/13/2019,12:12:36 PM,0.6265
6/13/2019,12:12:41 PM,0.6265
6/13/2019,12:12:46 PM,0.626
6/13/2019,12:12:51 PM,0.626
6/13/2019,12:12:56 PM,0.627
6/13/2019,12:13:01 PM,0.6285
6/13/2019,12:13:06 PM,0.6295
6/13/2019,12:13:11 PM,0.63
6/13/2019,12:13:16 PM,0.6295
6/13/2019,12:13:21 PM,0.63
6/13/2019,12:13:26 PM,0.6295
6/13/2019,12:13:31 PM,0.628
6/13/2019,12:13:36 PM,0.627
6/13/2019,12:13:41 PM,0.6265
6/13/2019,12:13:46 PM,0.627
6/13/2019,12:13:51 PM,0.6275
6/13/2019,12:13:56 PM,0.628
6/13/2019,12:14:01 PM,0.629
6/13/2019,12:14:06 PM,0.629
6/13/2019,12:14:11 PM,0.6295
6/13/2019,12:14:16 PM,0.6285
6/13/2019,12:14:21 PM,0.628
6/13/2019,12:14:26 PM,0.6275
