"","X","PosixCT","HR_12CH4","HP_12CH4","Delta_iCH4_Raw","HR_Delta_iCH4_Raw","HR_Delta_iCH4_30s","HP_Delta_iCH4_Raw","HP_Delta_iCH4_30s","Sample"
"73899",73899,2019-07-17 18:13:23,1.9244800076,1.9829378898,-51.039334538,-58.540710904,-59.128132963,-51.039334538,-52.194245826,"col1"
"73900",73900,2019-07-17 18:13:24,1.9193187199,1.9791556306,-47.575079033,-54.75856723,-58.950008197,-47.575079033,-51.852459276,"col1"
"73901",73901,2019-07-17 18:13:25,1.9193187199,1.9791556306,-47.575079033,-54.75856723,-58.950008197,-47.575079033,-51.852459276,"col1"
"73902",73902,2019-07-17 18:13:26,1.9193187199,1.9791556306,-47.575079033,-54.75856723,-58.950008197,-47.575079033,-51.852459276,"col1"
"73903",73903,2019-07-17 18:13:26,1.9193187199,1.9791556306,-47.575079033,-54.75856723,-58.950008197,-47.575079033,-51.852459276,"col1"
"73904",73904,2019-07-17 18:13:27,1.9019327444,1.9728464587,-50.542062103,-52.858487273,-58.222346048,-50.542062103,-51.559315833,"col1"
"73905",73905,2019-07-17 18:13:29,1.9019327444,1.9728464587,-50.542062103,-52.858487273,-58.222346048,-50.542062103,-51.559315833,"col1"
"73906",73906,2019-07-17 18:13:29,1.9019327444,1.9728464587,-50.542062103,-52.858487273,-58.222346048,-50.542062103,-51.559315833,"col1"
"73907",73907,2019-07-17 18:13:30,1.9019327444,1.9728464587,-50.542062103,-52.858487273,-58.222346048,-50.542062103,-51.559315833,"col1"
"73908",73908,2019-07-17 18:13:31,1.9040844759,1.9642902592,-45.131914734,-50.725090678,-57.368932586,-45.131914734,-50.684962952,"col1"
"73909",73909,2019-07-17 18:13:32,1.9040844759,1.9642902592,-45.131914734,-50.725090678,-57.368932586,-45.131914734,-50.684962952,"col1"
"73910",73910,2019-07-17 18:13:33,1.9040844759,1.9642902592,-45.131914734,-50.725090678,-57.368932586,-45.131914734,-50.684962952,"col1"
"73911",73911,2019-07-17 18:13:33,1.9040844759,1.9642902592,-45.131914734,-50.725090678,-57.368932586,-45.131914734,-50.684962952,"col1"
