Date,Time,Volts
6/18/2019,11:39:22 AM,0.5635
6/18/2019,11:39:27 AM,0.5645
6/18/2019,11:39:32 AM,0.5675
6/18/2019,11:39:37 AM,0.5695
6/18/2019,11:39:42 AM,0.5705
6/18/2019,11:39:47 AM,0.571
6/18/2019,11:39:52 AM,0.571
6/18/2019,11:39:57 AM,0.571
6/18/2019,11:40:02 AM,0.572
6/18/2019,11:40:07 AM,0.574
6/18/2019,11:40:12 AM,0.576
6/18/2019,11:40:17 AM,0.5775
6/18/2019,11:40:22 AM,0.578
6/18/2019,11:40:27 AM,0.579
6/18/2019,11:40:32 AM,0.5795
6/18/2019,11:40:37 AM,0.5805
6/18/2019,11:40:42 AM,0.5805
6/18/2019,11:40:47 AM,0.581
6/18/2019,11:40:52 AM,0.582
6/18/2019,11:40:57 AM,0.584
6/18/2019,11:41:02 AM,0.5865
6/18/2019,11:41:07 AM,0.59
6/18/2019,11:41:12 AM,0.5925
6/18/2019,11:41:17 AM,0.5925
6/18/2019,11:41:22 AM,0.592
6/18/2019,11:41:27 AM,0.5915
6/18/2019,11:41:32 AM,0.593
6/18/2019,11:41:37 AM,0.5945
6/18/2019,11:41:42 AM,0.5955
6/18/2019,11:41:47 AM,0.595
6/18/2019,11:41:52 AM,0.594
6/18/2019,11:41:57 AM,0.5925
6/18/2019,11:42:02 AM,0.5925
6/18/2019,11:42:07 AM,0.593
6/18/2019,11:42:12 AM,0.5945
6/18/2019,11:42:17 AM,0.595
6/18/2019,11:42:22 AM,0.5945
6/18/2019,11:42:27 AM,0.593
6/18/2019,11:42:32 AM,0.5935
6/18/2019,11:42:37 AM,0.595
6/18/2019,11:42:42 AM,0.598
6/18/2019,11:42:47 AM,0.601
6/18/2019,11:42:52 AM,0.6025
6/18/2019,11:42:57 AM,0.6035
6/18/2019,11:43:02 AM,0.604
6/18/2019,11:43:07 AM,0.605
6/18/2019,11:43:12 AM,0.605
6/18/2019,11:43:17 AM,0.6055
6/18/2019,11:43:22 AM,0.607
6/18/2019,11:43:27 AM,0.6095
6/18/2019,11:43:32 AM,0.612
6/18/2019,11:43:37 AM,0.6125
6/18/2019,11:43:42 AM,0.612
6/18/2019,11:43:47 AM,0.6105
6/18/2019,11:43:52 AM,0.611
6/18/2019,11:43:57 AM,0.613
6/18/2019,11:44:02 AM,0.6135
6/18/2019,11:44:07 AM,0.613
6/18/2019,11:44:12 AM,0.6125
6/18/2019,11:44:17 AM,0.6135
6/18/2019,11:44:22 AM,0.615
6/18/2019,11:44:27 AM,0.6165
6/18/2019,11:44:32 AM,0.6165
6/18/2019,11:44:37 AM,0.617
6/18/2019,11:44:42 AM,0.617
6/18/2019,11:44:47 AM,0.618
6/18/2019,11:44:52 AM,0.619
6/18/2019,11:44:57 AM,0.62
6/18/2019,11:45:02 AM,0.6195
6/18/2019,11:45:07 AM,0.62
6/18/2019,11:45:12 AM,0.622
6/18/2019,11:45:17 AM,0.6245
6/18/2019,11:45:22 AM,0.6255
6/18/2019,11:45:27 AM,0.627
6/18/2019,11:45:32 AM,0.6275
6/18/2019,11:45:37 AM,0.6285
6/18/2019,11:45:42 AM,0.6285
6/18/2019,11:45:47 AM,0.628
6/18/2019,11:45:52 AM,0.627
6/18/2019,11:45:57 AM,0.6265
6/18/2019,11:46:02 AM,0.627
6/18/2019,11:46:07 AM,0.628
6/18/2019,11:46:12 AM,0.628
6/18/2019,11:46:17 AM,0.628
6/18/2019,11:46:22 AM,0.6285
6/18/2019,11:46:27 AM,0.631
6/18/2019,11:46:32 AM,0.632
6/18/2019,11:46:37 AM,0.6335
6/18/2019,11:46:42 AM,0.634
6/18/2019,11:46:47 AM,0.635
6/18/2019,11:46:52 AM,0.6345
6/18/2019,11:46:57 AM,0.6335
6/18/2019,11:47:02 AM,0.632
6/18/2019,11:47:07 AM,0.632
6/18/2019,11:47:12 AM,0.6325
6/18/2019,11:47:17 AM,0.633
6/18/2019,11:47:22 AM,0.6325
6/18/2019,11:47:27 AM,0.6325
6/18/2019,11:47:32 AM,0.633
6/18/2019,11:47:37 AM,0.6345
