"","DateTime","Inj","V1","V2","V3","V4","V4_adjusted"
"312",2019-07-11 13:03:00,"No",NA,NA,NA,NA,NA
"313",2019-07-11 13:05:00,"No",NA,NA,NA,NA,NA
"314",2019-07-11 13:10:00,"No",NA,NA,NA,NA,NA
"315",2019-07-11 13:15:00,"No",1980,1935,1377.5,1460.55442648223,1460.55442648223
"316",2019-07-11 13:18:00,"No",NA,NA,NA,NA,NA
"317",2019-07-11 13:20:00,"No",NA,NA,NA,NA,NA
"318",2019-07-11 13:25:00,"No",NA,NA,NA,NA,NA
"319",2019-07-11 13:30:00,"No",1985,1955,407.5,1460.55442648223,1460.55442648223
"320",2019-07-11 13:33:00,"No",NA,NA,NA,NA,NA
"321",2019-07-11 13:35:00,"No",NA,NA,NA,NA,NA
"322",2019-07-11 13:40:00,"No",NA,NA,NA,NA,NA
"323",2019-07-11 13:45:00,"No",1970,1985,1737.5,1508.51229265014,1508.51229265014
"324",2019-07-11 13:48:00,"No",NA,NA,NA,NA,NA
"325",2019-07-11 13:50:00,"No",NA,NA,NA,NA,NA
"326",2019-07-11 13:55:00,"No",NA,NA,NA,NA,NA
"327",2019-07-11 14:00:00,"No",1975,1910,1727.5,1476.54038187153,1476.54038187153
"328",2019-07-11 14:03:00,"No",NA,NA,NA,NA,NA
"329",2019-07-11 14:05:00,"No",NA,NA,NA,NA,NA
"330",2019-07-11 14:10:00,"No",NA,NA,NA,NA,NA
"331",2019-07-11 14:15:00,"No",1965,1935,1697.5,1492.52633726083,1492.52633726083
"332",2019-07-11 14:18:00,"No",NA,NA,NA,NA,NA
"333",2019-07-11 14:20:00,"No",NA,NA,NA,NA,NA
"334",2019-07-11 14:25:00,"No",NA,NA,NA,NA,NA
"335",2019-07-11 14:30:00,"No",1975,1935,1687.5,1476.54038187153,1476.54038187153
"336",2019-07-11 14:33:00,"No",NA,NA,NA,NA,NA
"337",2019-07-11 14:35:00,"No",NA,NA,NA,NA,NA
"338",2019-07-11 14:40:00,"No",NA,NA,NA,NA,NA
"339",2019-07-11 14:45:00,"No",2000,1960,1712.5,1412.59656031433,1412.59656031433
"340",2019-07-11 14:48:00,"No",NA,NA,NA,NA,NA
"341",2019-07-11 14:50:00,"No",NA,NA,NA,NA,NA
"342",2019-07-11 14:55:00,"No",NA,NA,NA,NA,NA
"343",2019-07-11 15:00:00,"No",1995,1940,1717.5,1460.55442648223,1460.55442648223
"344",2019-07-11 15:03:00,"No",NA,NA,NA,NA,NA
