"Plot Title: EC1"
"#","Date Time, GMT-05:00","Full Range, μS/cm (LGR S/N: 20636125, SEN S/N: 20636125)","Temp, °C (LGR S/N: 20636125, SEN S/N: 20636125)","Specific Conductance, μS/cm (LGR S/N: 20636125)","Coupler Detached (LGR S/N: 20636125)","Coupler Attached (LGR S/N: 20636125)","Host Connected (LGR S/N: 20636125)","End Of File (LGR S/N: 20636125)"
357,07/20/19 03:45:00 AM,7.7,5.86,12.3,,,,
358,07/20/19 04:00:00 AM,7.0,5.81,11.2,,,,
359,07/20/19 04:15:00 AM,7.0,5.75,11.3,,,,
360,07/20/19 04:30:00 AM,7.7,5.71,12.4,,,,
361,07/20/19 04:45:00 AM,7.0,5.69,11.3,,,,
362,07/20/19 05:00:00 AM,7.7,5.63,12.4,,,,
363,07/20/19 05:15:00 AM,7.0,5.58,11.3,,,,
364,07/20/19 05:30:00 AM,7.7,5.55,12.5,,,,
365,07/20/19 05:45:00 AM,7.0,5.50,11.3,,,,
366,07/20/19 06:00:00 AM,7.0,5.41,11.4,,,,
367,07/20/19 06:15:00 AM,7.0,5.37,11.4,,,,
368,07/20/19 06:30:00 AM,7.0,5.29,11.4,,,,
369,07/20/19 06:45:00 AM,7.0,5.28,11.4,,,,
370,07/20/19 07:00:00 AM,7.7,5.28,12.6,,,,
371,07/20/19 07:15:00 AM,7.0,5.30,11.4,,,,
372,07/20/19 07:30:00 AM,7.0,5.30,11.4,,,,
373,07/20/19 07:45:00 AM,7.0,5.33,11.4,,,,
374,07/20/19 08:00:00 AM,7.0,5.34,11.4,,,,
375,07/20/19 08:15:00 AM,7.0,5.38,11.4,,,,
376,07/20/19 08:30:00 AM,7.0,5.50,11.3,,,,
377,07/20/19 08:45:00 AM,7.0,5.61,11.3,,,,
378,07/20/19 09:00:00 AM,7.0,5.70,11.3,,,,
379,07/20/19 09:15:00 AM,7.0,5.77,11.3,,,,
380,07/20/19 09:30:00 AM,7.0,5.86,11.2,,,,
381,07/20/19 09:45:00 AM,7.0,5.95,11.2,,,,
382,07/20/19 10:00:00 AM,7.0,6.08,11.2,,,,
383,07/20/19 10:15:00 AM,7.0,6.20,11.1,,,,
384,07/20/19 10:30:00 AM,7.0,6.35,11.1,,,,
